Youtuber	Title	rank	subscribers	video views	category	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	view last 30 days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers for last 30 days	created_year	Urban_population	Population
string	string	continuous	continuous	continuous	Autos\ &\ Vehicles Comedy Education Entertainment Film\ &\ Animation Gaming Howto\ &\ Style Movies Music News\ &\ Politics Nonprofits\ &\ Activism People\ &\ Blogs Pets\ &\ Animals Science\ &\ Technology Shows Sports Trailers Travel\ &\ Events	continuous	Afghanistan Andorra Argentina Australia Bangladesh Barbados Brazil Canada Chile China Colombia Cuba Ecuador Egypt El\ Salvador Finland France Germany India Indonesia Iraq Italy Japan Jordan Kuwait Latvia Malaysia Mexico Morocco Netherlands Pakistan Peru Philippines Russia Samoa Saudi\ Arabia Singapore South\ Korea Spain Sweden Switzerland Thailand Turkey Ukraine United\ Arab\ Emirates United\ Kingdom United\ States Venezuela Vietnam	AD AE AF AR AU BB BD BR CA CH CL CN CO CU DE EC EG ES FI FR GB ID IN IQ IT JO JP KR KW LV MA MX MY NL PE PH PK RU SA SE SG SV TH TR UA US VE VN WS	Animals Autos Comedy Education Entertainment Film Games Howto Music News Nonprofit People Sports Tech	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
meta	meta																				
T-Series	T-Series	1	245000000	2.28e+11	Music	20082	India	IN	Music	1	1	1	2.258e+09	564600.00	9000000.00	6800000.00	108400000.00	2e+06	2006	471031528	1366417754
MrBeast	MrBeast	3	166000000	2.83688e+10	Entertainment	741	United States	US	Entertainment	48	1	1	1.348e+09	337000.00	5400000.00	4000000.00	64700000.00	8e+06	2012	270663028	328239523
Cocomelon - Nursery Rhymes	Cocomelon - Nursery Rhymes	4	162000000	1.64e+11	Education	966	United States	US	Education	2	2	1	1.975e+09	493800.00	7900000.00	5900000.00	94800000.00	1e+06	2006	270663028	328239523
SET India	SET India	5	159000000	1.48e+11	Shows	116536	India	IN	Entertainment	3	2	2	1.824e+09	455900.00	7300000.00	5500000.00	87500000.00	1e+06	2006	471031528	1366417754
Like Nastya	Like Nastya Vlog	9	106000000	9.04791e+10	People & Blogs	493	Russia	RU	People	630	5	25	4.8947e+07	12200.00	195800.00	146800.00	2300000.00	100000	2016	107683889	144373535
Vlad and Niki	Vlad and Niki	10	98900000	7.71802e+10	Entertainment	574	United States	US	Entertainment	8	5	6	5.80574e+08	145100.00	2300000.00	1700000.00	27900000.00	600000	2018	270663028	328239523
Zee Music Company	Zee Music Company	11	96700000	5.78563e+10	Music	8548	India	IN	Music	12	3	2	8.03613e+08	200900.00	3200000.00	2400000.00	38600000.00	1.1e+06	2014	471031528	1366417754
WWE	WWE	12	96000000	7.74285e+10	Sports	70127	United States	US	Sports	7	6	1	7.14614e+08	178700.00	2900000.00	2100000.00	34300000.00	600000	2007	270663028	328239523
BLACKPINK	BLACKPINK	14	89800000	3.21446e+10	People & Blogs	543	South Korea	KR	Music	32	1	3	4.9893e+08	124700.00	2000000.00	1500000.00	23900000.00	700000	2016	42106719	51709098
Sony SAB	Sony SAB	16	83000000	1.01e+11	Shows	71270	India	IN	Entertainment	4	5	7	1.657e+09	414300.00	6600000.00	5000000.00	79600000.00	1.1e+06	2007	471031528	1366417754
BANGTANTV	BANGTANTV	18	75600000	2.0827e+10	Music	2281	South Korea	KR	Music	112	2	4	1.6829e+08	42100.00	673200.00	504900.00	8100000.00	400000	2012	42106719	51709098
Justin Bieber	Justin Bieber	20	71600000	3.06081e+10	Music	249	Canada	CA	Music	38	1	6	1.76326e+08	44100.00	705300.00	529000.00	8500000.00	100000	2007	30628482	36991981
HYBE LABELS	HYBE LABELS	21	71300000	2.86346e+10	Music	1337	South Korea	KR	Music	46	3	5	5.98173e+08	149500.00	2400000.00	1800000.00	28700000.00	900000	2008	42106719	51709098
Zee TV	Zee TV	22	70500000	7.31391e+10	Entertainment	129204	India	IN	Entertainment	9	6	8	1.707e+09	426800.00	6800000.00	5100000.00	81900000.00	900000	2005	471031528	1366417754
Pinkfong Baby Shark - Kids' Songs & Stories	Pinkfong Baby Shark - Kids' Songs & Stories	23	68200000	3.88432e+10	Education	2865	United States	US	Education	23	8	2	4.73387e+08	118300.00	1900000.00	1400000.00	22700000.00	600000	2011	270663028	328239523
ChuChu TV Nursery Rhymes & Kids Songs	ChuChu TV Nursery Rhymes & Kids Songs	25	65900000	4.57579e+10	Education	633	India	IN	Education	18	7	3	4.20292e+08	105100.00	1700000.00	1300000.00	20200000.00	500000	2013	471031528	1366417754
Shemaroo Filmi Gaane	Shemaroo Filmi Gaane	26	65600000	2.8648e+10	Music	8502	India	IN	Music	47	8	8	2.54961e+08	63700.00	1000000.00	764900.00	12200000.00	400000	2010	471031528	1366417754
Colors TV	Colors TV	27	64600000	6.15109e+10	Shows	112915	India	IN	Entertainment	10	9	9	1.188e+09	296900.00	4800000.00	3600000.00	57000000.00	1.1e+06	2008	471031528	1366417754
Dude Perfect	Dude Perfect	29	59500000	1.62415e+10	Sports	389	United States	US	Sports	182	9	3	1.412e+08	35300.00	564800.00	423600.00	6800000.00	100000	2009	270663028	328239523
Movieclips	Movieclips	30	59500000	5.93165e+10	Film & Animation	39113	United States	US	Film	11	9	3	1.14668e+08	28700.00	458700.00	344000.00	5500000.00	100000	2006	270663028	328239523
Tips Official	Tips Official	31	59300000	3.34318e+10	Music	4741	India	IN	Music	30	11	10	4.22634e+08	105700.00	1700000.00	1300000.00	20300000.00	600000	2007	471031528	1366417754
El Reino Infantil	El Reino Infantil	32	58400000	5.72716e+10	Music	1510	Argentina	AR	Music	13	1	11	6.11828e+08	153000.00	2400000.00	1800000.00	29400000.00	600000	2011	41339571	44938712
Wave Music	Wave Music	33	58000000	4.0602e+10	Music	19487	India	IN	Music	21	12	12	2.32025e+08	58000.00	928100.00	696100.00	11100000.00	500000	2014	471031528	1366417754
Aaj Tak	Aaj Tak	34	57600000	2.53078e+10	News & Politics	283775	India	IN	News	71	13	1	4.61148e+08	115300.00	1800000.00	1400000.00	22100000.00	500000	2009	471031528	1366417754
Sony Music India	Sony Music India	35	57200000	2.88371e+10	Music	3882	India	IN	Music	45	14	13	2.5931e+08	64800.00	1000000.00	777900.00	12400000.00	300000	2009	471031528	1366417754
EminemMusic	EminemMusic	36	56900000	2.70739e+10	Music	156	United States	US	Music	59	10	14	2.60193e+08	65000.00	1000000.00	780600.00	12500000.00	300000	2007	270663028	328239523
Marshmello	Marshmello	37	56400000	1.4696e+10	Entertainment	436	United States	US	Music	233	11	15	1.121e+08	28000.00	448400.00	336300.00	5400000.00	100000	2015	270663028	328239523
YRF	YRF	38	54600000	3.53022e+10	Film & Animation	3707	India	IN	Music	28	15	16	5.12093e+08	128000.00	2000000.00	1500000.00	24600000.00	500000	2006	471031528	1366417754
Ed Sheeran	Ed Sheeran	40	53500000	3.03677e+10	Music	383	United Kingdom	GB	Music	39	1	18	2.0272e+08	50700.00	810900.00	608200.00	9700000.00	100000	2006	55908316	66834405
Infobells - Hindi	Infobells - Hindi	41	53300000	3.05162e+10	Education	577	India	IN	Education	37	16	4	8.15949e+08	204000.00	3300000.00	2400000.00	39200000.00	1.6e+06	2014	471031528	1366417754
Taylor Swift	Taylor Swift	42	52900000	2.98847e+10	Music	216	United States	US	Music	40	13	19	5.28392e+08	132100.00	2100000.00	1600000.00	25400000.00	800000	2006	270663028	328239523
Ariana Grande	Ariana Grande	43	52700000	2.40048e+10	Music	147	United States	US	Music	78	14	20	1.60216e+08	40100.00	640900.00	480600.00	7700000.00	100000	2007	270663028	328239523
BillionSurpriseToys  - Nursery Rhymes & Cartoons	BillionSurpriseToys  - Nursery Rhymes & Cartï¿½	44	52200000	9.87737e+09	Education	847	United States	US	Education	450	15	5	2.66747e+08	66700.00	1100000.00	800200.00	12800000.00	600000	2013	270663028	328239523
JuegaGerman	JuegaGerman	45	48100000	1.46317e+10	Gaming	2052	Chile	CL	Games	237	1	2	6.6388e+07	16600.00	265600.00	199200.00	3200000.00	200000	2013	16610135	18952038
Billie Eilish	Billie Eilish	46	47900000	1.36263e+10	Music	65	United States	US	Music	263	16	21	1.46862e+08	36700.00	587400.00	440600.00	7000000.00	200000	2013	270663028	328239523
Get Movies	Get Movies	47	47500000	3.07887e+10	Entertainment	3322	Russia	RU	Film	35	1	4	3.0654e+08	76600.00	1200000.00	919600.00	14700000.00	700000	2006	107683889	144373535
Shemaroo	Shemaroo	48	47400000	2.25197e+10	Entertainment	11451	India	IN	Entertainment	97	17	10	2.32744e+08	58200.00	931000.00	698200.00	11200000.00	500000	2007	471031528	1366417754
SonyMusicIndiaVEVO	SonyMusicIndiaVEVO	50	46600000	2.72861e+10	Music	3444	United States	US	Music	55	17	22	3.14505e+08	78600.00	1300000.00	943500.00	15100000.00	400000	2009	270663028	328239523
A4	aefour	51	46300000	2.29366e+10	Gaming	1	Cuba	CU	People	4053056	99	5359	94	0.02	0.38	0.28	5.00	10	2006	8739135	11333483
Fernanfloo	Fernanfloo	53	46100000	1.03234e+10	Gaming	543	El Salvador	SV	Games	419	1	3	3.3842e+07	8500.00	135400.00	101500.00	1600000.00	200000	2011	4694702	6453553
Voot Kids	Voot Kids	54	45500000	2.13887e+10	Entertainment	4660	India	IN	Entertainment	105	18	13	2.33988e+08	58500.00	936000.00	702000.00	11200000.00	400000	2016	471031528	1366417754
Felipe Neto	Felipe Neto	55	45200000	1.66022e+10	Entertainment	4331	Brazil	BR	Entertainment	174	2	14	1.30359e+08	32600.00	521400.00	391100.00	6300000.00	200000	2006	183241641	212559417
Vocï¿½ï¿½ï¿½	Vocï¿½ï¿½ï¿½	56	44700000	7.82861e+09	Entertainment	1558	Brazil	BR	Entertainment	681	3	15	4.8032e+07	12000.00	192100.00	144100.00	2300000.00	100000	2013	183241641	212559417
HAR PAL GEO	HAR PAL GEO	57	44600000	4.11391e+10	Entertainment	100755	Pakistan	PK	Entertainment	20	1	15	1.337e+09	334300.00	5300000.00	4000000.00	64200000.00	1.3e+06	2008	79927762	216565318
Katy Perry	Katy Perry	59	44200000	2.5459e+10	Music	128	United States	US	Music	70	19	24	1.34242e+08	33600.00	537000.00	402700.00	6400000.00	100000	2008	270663028	328239523
ABS-CBN Entertainment	ABS-CBN Entertainment	61	44200000	5.02925e+10	People & Blogs	193890	Philippines	PH	Entertainment	16	1	16	1.76629e+08	44200.00	706500.00	529900.00	8500000.00	300000	2008	50975903	108116615
Shakira	Shakira	64	43500000	2.75688e+10	People & Blogs	326	Colombia	CO	Howto	52	1	3	3.53412e+08	88400.00	1400000.00	1100000.00	17000000.00	500000	2005	40827302	50339443
ýýýýýýýý ýý ýýýýýýýýýýýýýý	ýýýýýýýý ýý ýýýýýýýýýýýýýý	65	43200000	3.64587e+10	Film & Animation	1478	Russia	RU	Education	26	2	6	3.0378e+08	75900.00	1200000.00	911300.00	14600000.00	300000	2011	107683889	144373535
ARY Digital HD	ARY Digital HD	66	43200000	3.79398e+10	Entertainment	109871	Pakistan	PK	Entertainment	24	2	18	1.149e+09	287300.00	4600000.00	3400000.00	55200000.00	900000	2016	79927762	216565318
Speed Records	Speed Records	67	42500000	2.68209e+10	Music	10938	India	IN	Music	62	19	26	1.59757e+08	39900.00	639000.00	479300.00	7700000.00	100000	2012	471031528	1366417754
Masha and The Bear	Masha and The Bear	68	42400000	2.4519e+10	Shows	1218	United States	US	Film	74	20	5	6.70459e+08	167600.00	2700000.00	2000000.00	32200000.00	1e+06	2014	270663028	328239523
Rihanna	Rihanna	70	41900000	2.24777e+10	Entertainment	84	Barbados	BB	Music	98	1	27	1.82926e+08	45700.00	731700.00	548800.00	8800000.00	100000	2005	89431	287025
Ishtar Music	Ishtar Music	71	41400000	1.76089e+10	Trailers	4510	India	IN	Music	155	20	28	1.80942e+08	45200.00	723800.00	542800.00	8700000.00	400000	2005	471031528	1366417754
Kimberly Loaiza	Kimberly Loaiza	72	41300000	5.60311e+09	People & Blogs	291	Mexico	MX	People	1157	2	1	1.36745e+08	34200.00	547000.00	410200.00	6600000.00	400000	2016	102626859	126014024
Little Baby Bum - Nursery Rhymes & Kids Songs	Little Baby Bum - Nursery Rhymes & Kids Songs	73	40900000	3.94508e+10	Education	2423	United States	US	Education	22	22	7	9.8775e+07	24700.00	395100.00	296300.00	4700000.00	100000	2011	270663028	328239523
shfa2 - ï¿½ï¿½	shfa2 - ï¿½ï¿½	77	39700000	2.38848e+10	People & Blogs	1596	United Arab Emirates	AE	People	81	1	2	2.47731e+08	61900.00	990900.00	743200.00	11900000.00	300000	2017	8479744	9770529
CarryMinati	CarryMinati	79	39200000	3.29401e+09	Comedy	186	India	IN	Comedy	2487	21	2	7.8688e+07	19700.00	314800.00	236100.00	3800000.00	700000	2014	471031528	1366417754
XXXTENTACION	XXXTENTACION	80	39200000	1.05075e+10	Music	133	United States	US	Music	403	24	29	5.8362e+07	14600.00	233400.00	175100.00	2800000.00	100000	2015	270663028	328239523
Super Simple Songs - Kids Songs	Super Simple Songs - Kids Songs	81	39200000	4.49009e+10	Education	744	Canada	CA	Education	19	2	8	5.60756e+08	140200.00	2200000.00	1700000.00	26900000.00	400000	2006	30628482	36991981
Mikecrack	Mikecrack	82	39100000	1.61182e+10	Gaming	1876	Spain	ES	Games	188	1	4	2.64108e+08	66000.00	1100000.00	792300.00	12700000.00	800000	2015	37927409	47076781
WorkpointOfficial	WorkpointOfficial	83	39000000	3.61312e+10	Entertainment	72580	Thailand	TH	Entertainment	27	1	24	1.30461e+08	32600.00	521800.00	391400.00	6300000.00	200000	2012	35294600	69625582
GR6 EXPLODE	GR6 EXPLODE	84	38900000	2.51542e+10	Music	3043	Brazil	BR	Music	73	6	30	1.635e+09	408700.00	6500000.00	4900000.00	78500000.00	100000	2014	183241641	212559417
TEDx Talks	TEDx Talks	85	38600000	7.33933e+09	Nonprofits & Activism	200933	United States	US	Nonprofit	768	25	1	4.5638e+07	11400.00	182600.00	136900.00	2200000.00	100000	2009	270663028	328239523
shfa	ýýýýýýýýýý ýýýýýý	86	38400000	2.15281e+10	People & Blogs	982	Saudi Arabia	SA	Games	150882	774	1454	1.589e+06	397.00	6400.00	4800.00	76300.00	2000	2018	28807838	34268528
Goldmines Gaane Sune Ansune	Goldmines Gaane Sune Ansune	87	38300000	1.67182e+10	Music	3532	India	IN	Music	170	22	31	8.14756e+08	203700.00	3300000.00	2400000.00	39100000.00	400000	2015	471031528	1366417754
One Direction	21 Savage	88	38200000	1.35989e+10	Music	11	United States	US	Music	539848	2904	2594	6348	2.00	25.00	19.00	305.00	100	2016	270663028	328239523
Sony PAL	Sony PAL	90	38200000	2.85193e+10	Shows	24089	India	IN	Entertainment	49	23	25	4.15914e+08	104000.00	1700000.00	1200000.00	20000000.00	500000	2014	471031528	1366417754
Daddy Yankee	Daddy Yankee	91	38000000	2.27314e+10	Music	505	United States	US	Music	92	27	33	2.05594e+08	51400.00	822400.00	616800.00	9900000.00	100000	2011	270663028	328239523
Like Nastya ESP	Like Nastya ESP	93	37600000	1.82082e+10	Entertainment	743	United States	US	Entertainment	145	29	28	3.21026e+08	80300.00	1300000.00	963100.00	15400000.00	700000	2017	270663028	328239523
ýýýýýýýýýýýý one31	ýýýýýýýýýýýý one31	94	37500000	2.72625e+10	Entertainment	117152	Thailand	TH	Entertainment	56	2	29	1.40754e+08	35200.00	563000.00	422300.00	6800000.00	300000	2013	35294600	69625582
Jkk Entertainment	Jkk Entertainment	95	37200000	1.64021e+10	Comedy	220	India	IN	Comedy	178	24	3	4.9861e+07	12500.00	199400.00	149600.00	2400000.00	100000	2017	471031528	1366417754
ABP NEWS	ABP NEWS	96	37000000	1.31026e+10	People & Blogs	301308	India	IN	News	280	25	2	2.6706e+08	66800.00	1100000.00	801200.00	12800000.00	400000	2012	471031528	1366417754
Maria Clara & JP	Maria Clara & JP	97	37000000	2.41889e+10	People & Blogs	744	Brazil	BR	Entertainment	75	7	30	2.51449e+08	62900.00	1000000.00	754300.00	12100000.00	300000	2015	183241641	212559417
Bruno Mars	Bruno Mars	98	36700000	1.93782e+10	Music	99	United States	US	Music	134	30	34	1.75243e+08	43800.00	701000.00	525700.00	8400000.00	200000	2006	270663028	328239523
Ultra Bollywood	Ultra Bollywood	100	36600000	1.56538e+10	Trailers	9168	India	IN	Entertainment	205	26	31	1.31462e+08	0.00	0.00	0.00	0.00	200000	2009	471031528	1366417754
YouTube	YouTube	102	36300000	3.01078e+09	News & Politics	744	United States	US	Entertainment	2860	32	5	2.1103e+07	5300.00	84400.00	63300.00	1000000.00	300000	1970	270663028	328239523
La Granja de Zenï¿½	La Granja de Zenï¿½	106	35700000	2.71184e+10	Music	654	Argentina	AR	Music	58	2	37	3.02071e+08	75500.00	1200000.00	906200.00	14500000.00	400000	2013	41339571	44938712
Saregama Music	Saregama Music	107	35500000	1.56577e+10	Entertainment	7566	India	IN	Music	199	27	38	5.33793e+08	133400.00	2100000.00	1600000.00	25600000.00	900000	2013	471031528	1366417754
IndiaTV	IndiaTV	108	35500000	1.6105e+10	News & Politics	273255	India	IN	News	185	27	3	2.90847e+08	72700.00	1200000.00	872500.00	14000000.00	600000	2006	471031528	1366417754
T-Series Bollywood Classics	T-Series Bollywood Classics	109	35400000	2.26378e+10	Music	2010	India	IN	Music	94	28	39	3.31474e+08	82900.00	1300000.00	994400.00	15900000.00	500000	2012	471031528	1366417754
Markiplier	Markiplier	111	35200000	2.02979e+10	Gaming	5490	United States	US	Games	119	34	8	1.27329e+08	31800.00	509300.00	382000.00	6100000.00	100000	2012	270663028	328239523
Ryan's World	Ryan's World	112	35200000	5.52998e+10	Entertainment	2453	United States	US	Entertainment	15	35	32	2.38613e+08	59700.00	954500.00	715800.00	11500000.00	200000	2015	270663028	328239523
